symbol	name	term	group	hgnc_id	ensembl_gene_id
CBX4	e3 sumo-protein ligase cbx4	data.tsv	NO GROUP		
OVOL2	ovo like zinc finger 2	data.tsv	NO GROUP	HGNC:15804	ENSG00000125850
TFE3	transcription factor binding to IGHM enhancer 3	data.tsv	NO GROUP	HGNC:11752	ENSG00000068323
VSTM2A	V-set and transmembrane domain containing 2A	data.tsv	NO GROUP	HGNC:28499	ENSG00000170419
CXCL12	C-X-C motif chemokine ligand 12	detection_of_temperature_stimulus	Perception of Temperature	HGNC:10672	ENSG00000107562
SCRN3	secernin 3	detection_of_temperature_stimulus	Perception of Temperature	HGNC:30382	ENSG00000144306
TAC4	tachykinin precursor 4	detection_of_temperature_stimulus	Perception of Temperature	HGNC:16641	ENSG00000176358
NTRK1	neurotrophic receptor tyrosine kinase 1	detection_of_temperature_stimulus	Perception of Temperature	HGNC:8031	ENSG00000198400
SCN9A	sodium voltage-gated channel alpha subunit 9	detection_of_temperature_stimulus	Perception of Temperature	HGNC:10597	ENSG00000169432
PRDM12	PR/SET domain 12	detection_of_temperature_stimulus	Perception of Temperature	HGNC:13997	ENSG00000130711
EPHB1	EPH receptor B1	detection_of_temperature_stimulus	Perception of Temperature	HGNC:3392	ENSG00000154928
CARTPT	cocaine- and amphetamine-regulated transcript protein	detection_of_temperature_stimulus	Perception of Temperature		
TRPV1	transient receptor potential cation channel subfamily V member 1	detection_of_temperature_stimulus	Perception of Temperature	HGNC:12716	ENSG00000196689
SCN11A	sodium voltage-gated channel alpha subunit 11	detection_of_temperature_stimulus	Perception of Temperature	HGNC:10583	ENSG00000168356
NTSR1	neurotensin receptor 1	detection_of_temperature_stimulus	Perception of Temperature	HGNC:8039	ENSG00000101188
TAC1	tachykinin precursor 1	detection_of_temperature_stimulus	Perception of Temperature	HGNC:11517	ENSG00000006128
MMP24	matrix metallopeptidase 24	detection_of_temperature_stimulus	Perception of Temperature	HGNC:7172	ENSG00000125966
ANO1	anoctamin 1	detection_of_temperature_stimulus	Perception of Temperature	HGNC:21625	ENSG00000131620
GRIK2	glutamate ionotropic receptor kainate type subunit 2	detection_of_temperature_stimulus	Perception of Temperature	HGNC:4580	ENSG00000164418
ANO3	anoctamin 3	detection_of_temperature_stimulus	Perception of Temperature	HGNC:14004	ENSG00000134343
F2R	coagulation factor II thrombin receptor	data.tsv	NO GROUP	HGNC:3537	ENSG00000181104
ADRA2A	adrenoceptor alpha 2A	data.tsv	NO GROUP	HGNC:281	ENSG00000150594
F9_HUMAN	coagulation factor ixa complex	data.tsv	NO GROUP		
FGA	fibrinogen alpha chain	data.tsv	NO GROUP	HGNC:3661	ENSG00000171560
FGG	fibrinogen gamma chain	data.tsv	NO GROUP	HGNC:3694	ENSG00000171557
ADRA2C	adrenoceptor alpha 2C	data.tsv	NO GROUP	HGNC:283	ENSG00000184160
PAFAH2	platelet activating factor acetylhydrolase 2	data.tsv	NO GROUP	HGNC:8579	ENSG00000158006
CSRP1	cysteine and glycine rich protein 1	data.tsv	NO GROUP	HGNC:2469	ENSG00000159176
CD9	CD9 molecule	data.tsv	NO GROUP	HGNC:1709	ENSG00000010278
DGKK	diacylglycerol kinase kappa	data.tsv	NO GROUP	HGNC:32395	ENSG00000274588
HSPB1	heat shock protein family B (small) member 1	data.tsv	NO GROUP	HGNC:5246	ENSG00000106211
DGKH	diacylglycerol kinase eta	data.tsv	NO GROUP	HGNC:2854	ENSG00000102780
HNF4A	hepatocyte nuclear factor 4 alpha	data.tsv	NO GROUP	HGNC:5024	ENSG00000101076
VAV2	vav guanine nucleotide exchange factor 2	data.tsv	NO GROUP	HGNC:12658	ENSG00000160293
FIBP	FGF1 intracellular binding protein	data.tsv	NO GROUP	HGNC:3705	ENSG00000172500
PPIA	peptidylprolyl isomerase A	data.tsv	NO GROUP	HGNC:9253	ENSG00000196262
DGKQ	diacylglycerol kinase theta	data.tsv	NO GROUP	HGNC:2856	ENSG00000145214
VAV1	vav guanine nucleotide exchange factor 1	data.tsv	NO GROUP	HGNC:12657	ENSG00000141968
F13B	coagulation factor XIII B chain	data.tsv	NO GROUP	HGNC:3534	ENSG00000143278
GATA1	GATA binding protein 1	data.tsv	NO GROUP	HGNC:4170	ENSG00000102145
HGFAC	HGF activator	data.tsv	NO GROUP	HGNC:4894	ENSG00000109758
FIBRINOGEN_HUMAN	fibrinogen complex	data.tsv	NO GROUP		
PEAR1	platelet endothelial aggregation receptor 1	data.tsv	NO GROUP	HGNC:33631	ENSG00000187800
WAS	WASP actin nucleation promoting factor	data.tsv	NO GROUP	HGNC:12731	ENSG00000015285
CD40	CD40 molecule	data.tsv	NO GROUP	HGNC:11919	ENSG00000101017
ITPK1	inositol-tetrakisphosphate 1-kinase	data.tsv	NO GROUP	HGNC:6177	ENSG00000100605
SEMG1	semenogelin-1	data.tsv	NO GROUP		
PLSCR1	phospholipid scramblase 1	data.tsv	NO GROUP	HGNC:9092	ENSG00000188313
MMRN1	multimerin 1	data.tsv	NO GROUP	HGNC:7178	ENSG00000138722
ANGPT2	angiopoietin 2	data.tsv	NO GROUP	HGNC:485	ENSG00000091879
CYP4F11	cytochrome P450 family 4 subfamily F member 11	data.tsv	NO GROUP	HGNC:13265	ENSG00000171903
RAP2B	RAP2B, member of RAS oncogene family	data.tsv	NO GROUP	HGNC:9862	ENSG00000181467
HRG	histidine rich glycoprotein	data.tsv	NO GROUP	HGNC:5181	ENSG00000113905
ILK	integrin linked kinase	data.tsv	NO GROUP	HGNC:6040	ENSG00000166333
GNA12	G protein subunit alpha 12	data.tsv	NO GROUP	HGNC:4380	ENSG00000146535
MYL9	myosin light chain 9	data.tsv	NO GROUP	HGNC:15754	ENSG00000101335
ANO6	anoctamin 6	data.tsv	NO GROUP	HGNC:25240	ENSG00000177119
PIK3CG	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma	data.tsv	NO GROUP	HGNC:8978	ENSG00000105851
GGCX	gamma-glutamyl carboxylase	data.tsv	NO GROUP	HGNC:4247	ENSG00000115486
RASA3	RAS p21 protein activator 3	data.tsv	NO GROUP	HGNC:20331	ENSG00000185989
LMAN1	lectin, mannose binding 1	data.tsv	NO GROUP	HGNC:6631	ENSG00000074695
ITPR3	inositol 1,4,5-trisphosphate receptor type 3	data.tsv	NO GROUP	HGNC:6182	ENSG00000096433
PDPN	podoplanin	data.tsv	NO GROUP	HGNC:29602	ENSG00000162493
DGKE	diacylglycerol kinase epsilon	data.tsv	NO GROUP	HGNC:2852	ENSG00000153933
PIK3CB	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta	data.tsv	NO GROUP	HGNC:8976	ENSG00000051382
PIK3CA	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha	data.tsv	NO GROUP	HGNC:8975	ENSG00000121879
ADORA2A	adenosine A2a receptor	data.tsv	NO GROUP	HGNC:263	ENSG00000128271
DGKG	diacylglycerol kinase gamma	data.tsv	NO GROUP	HGNC:2853	ENSG00000058866
GP9	glycoprotein IX platelet	data.tsv	NO GROUP	HGNC:4444	ENSG00000169704
METAP1	methionyl aminopeptidase 1	data.tsv	NO GROUP	HGNC:15789	ENSG00000164024
FERMT3	FERM domain containing kindlin 3	data.tsv	NO GROUP	HGNC:23151	ENSG00000149781
PLCG2	phospholipase C gamma 2	data.tsv	NO GROUP	HGNC:9066	ENSG00000197943
PRSS56	serine protease 56	data.tsv	NO GROUP	HGNC:39433	ENSG00000237412
GP1BB	glycoprotein Ib platelet subunit beta	data.tsv	NO GROUP	HGNC:4440	ENSG00000203618
PABPC4	poly(A) binding protein cytoplasmic 4	data.tsv	NO GROUP	HGNC:8557	ENSG00000090621
FBLN1	fibulin 1	data.tsv	NO GROUP	HGNC:3600	ENSG00000077942
GP5	glycoprotein V platelet	data.tsv	NO GROUP	HGNC:4443	ENSG00000178732
CD36	CD36 molecule (CD36 blood group)	data.tsv	NO GROUP	HGNC:1663	ENSG00000135218
JMJD1C	jumonji domain containing 1C	data.tsv	NO GROUP	HGNC:12313	ENSG00000171988
KLKB1	kallikrein B1	data.tsv	NO GROUP	HGNC:6371	ENSG00000164344
F11	coagulation factor XI	data.tsv	NO GROUP	HGNC:3529	ENSG00000088926
