bioentity	bioentity_name	qualifier	annotation_class	annotation_extension_json	assigned_by	taxon	evidence_type	evidence_with	panther_family	type	bioentity_isoform	reference	date	bioentity_label	taxon_label	isa_partof_closure_label	regulates_closure_label	annotation_class_label	annotation_extension_class_labelannotation_extension_class_closure_label	has_participant_closure_label	term
UniProtKB:Q14974	Importin subunit beta-1		GO:0051879		Ensembl	NCBITaxon:9606	IEA	UniProtKB:P70168,ensembl:ENSMUSP00000001479	PANTHER:PTHR10527	protein	UniProtKB:Q14974	GO_REF:0000107	20250313	KPNB1	Homo sapiens	heat shock protein binding,protein binding,Hsp90 protein binding,binding,molecular_function	heat shock protein binding,protein binding,Hsp90 protein binding,binding,molecular_function	Hsp90 protein binding			heat_shock_protein_binding
UniProtKB:Q6W2J9	BCL-6 corepressor		GO:0031072		UniProt	NCBITaxon:9606	IDA		PANTHER:PTHR24117	protein	UniProtKB:Q6W2J9	PMID:16943429	20081114	BCOR	Homo sapiens	heat shock protein binding,protein binding,binding,molecular_function	heat shock protein binding,protein binding,binding,molecular_function	heat shock protein binding			heat_shock_protein_binding
UniProtKB:P32455	Guanylate-binding protein 1		GO:0051879		UniProt	NCBITaxon:9606	IPI	UniProtKB:P07900	PANTHER:PTHR10751	protein	UniProtKB:P32455	PMID:24337748	20150303	GBP1	Homo sapiens	heat shock protein binding,protein binding,Hsp90 protein binding,binding,molecular_function	heat shock protein binding,protein binding,Hsp90 protein binding,binding,molecular_function	Hsp90 protein binding			heat_shock_protein_binding
UniProtKB:Q7L3B6	Hsp90 co-chaperone Cdc37-like 1		GO:0031072		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN000980613,UniProtKB:Q16543,MGI:MGI:109531,PomBase:SPBC9B6.10	PANTHER:PTHR12800	protein		GO_REF:0000033	20170228	CDC37L1	Homo sapiens	heat shock protein binding,protein binding,binding,molecular_function	heat shock protein binding,protein binding,binding,molecular_function	heat shock protein binding			heat_shock_protein_binding
UniProtKB:Q53FT3	Protein Hikeshi		GO:0030544		UniProt	NCBITaxon:9606	IDA		PANTHER:PTHR12925	protein	UniProtKB:Q53FT3	PMID:22541429	20120503	HIKESHI	Homo sapiens	heat shock protein binding,protein binding,protein-folding chaperone binding,binding,molecular_function,Hsp70 protein binding	heat shock protein binding,protein binding,protein-folding chaperone binding,binding,molecular_function,Hsp70 protein binding	Hsp70 protein binding			heat_shock_protein_binding
UniProtKB:Q53FT3	Protein Hikeshi		GO:0030544		UniProt	NCBITaxon:9606	IDA		PANTHER:PTHR12925	protein	UniProtKB:Q53FT3	PMID:25760597	20180405	HIKESHI	Homo sapiens	heat shock protein binding,protein binding,protein-folding chaperone binding,binding,molecular_function,Hsp70 protein binding	heat shock protein binding,protein binding,protein-folding chaperone binding,binding,molecular_function,Hsp70 protein binding	Hsp70 protein binding			heat_shock_protein_binding
UniProtKB:Q53FT3	Protein Hikeshi		GO:0030544		UniProt	NCBITaxon:9606	IPI	UniProtKB:P11142	PANTHER:PTHR12925	protein	UniProtKB:Q53FT3	PMID:25760597	20180405	HIKESHI	Homo sapiens	heat shock protein binding,protein binding,protein-folding chaperone binding,binding,molecular_function,Hsp70 protein binding	heat shock protein binding,protein binding,protein-folding chaperone binding,binding,molecular_function,Hsp70 protein binding	Hsp70 protein binding			heat_shock_protein_binding
UniProtKB:Q53FT3	Protein Hikeshi		GO:0030544		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN000985988,UniProtKB:Q53FT3	PANTHER:PTHR12925	protein		GO_REF:0000033	20190302	HIKESHI	Homo sapiens	heat shock protein binding,protein binding,protein-folding chaperone binding,binding,molecular_function,Hsp70 protein binding	heat shock protein binding,protein binding,protein-folding chaperone binding,binding,molecular_function,Hsp70 protein binding	Hsp70 protein binding			heat_shock_protein_binding
UniProtKB:Q99615	DnaJ homolog subfamily C member 7		GO:0031072		UniProt	NCBITaxon:9606	IPI	UniProtKB:P07900	PANTHER:PTHR45188	protein	UniProtKB:Q99615	PMID:12853476	20100517	DNAJC7	Homo sapiens	heat shock protein binding,protein binding,binding,molecular_function	heat shock protein binding,protein binding,binding,molecular_function	heat shock protein binding			heat_shock_protein_binding
UniProtKB:Q99615	DnaJ homolog subfamily C member 7		GO:0031072		UniProt	NCBITaxon:9606	IPI	UniProtKB:P0DMV8	PANTHER:PTHR45188	protein	UniProtKB:Q99615	PMID:12853476	20180115	DNAJC7	Homo sapiens	heat shock protein binding,protein binding,binding,molecular_function	heat shock protein binding,protein binding,binding,molecular_function	heat shock protein binding			heat_shock_protein_binding
UniProtKB:Q86XA0	Histone-arginine methyltransferase METTL23		GO:0031072		UniProt	NCBITaxon:9606	IPI	UniProtKB:P11021	PANTHER:PTHR14614	protein	UniProtKB:Q86XA0	PMID:23349634	20170523	METTL23	Homo sapiens	heat shock protein binding,protein binding,binding,molecular_function	heat shock protein binding,protein binding,binding,molecular_function	heat shock protein binding			heat_shock_protein_binding
UniProtKB:Q86XA0	Histone-arginine methyltransferase METTL23		GO:0031072		UniProt	NCBITaxon:9606	IPI	UniProtKB:P14625	PANTHER:PTHR14614	protein	UniProtKB:Q86XA0	PMID:23349634	20170523	METTL23	Homo sapiens	heat shock protein binding,protein binding,binding,molecular_function	heat shock protein binding,protein binding,binding,molecular_function	heat shock protein binding			heat_shock_protein_binding
UniProtKB:Q9HC29	Nucleotide-binding oligomerization domain-containing protein 2		GO:0030544	"{""relationship"": {""relation"": [{""id"": ""BFO:0000066""\, ""label"": ""occurs in""}]\, ""id"": ""CL:0011108""\, ""label"": ""colon epithelial cell""}}"	UniProt	NCBITaxon:9606	IPI	UniProtKB:P0DMV8	PANTHER:PTHR24106	protein	UniProtKB:Q9HC29	PMID:24790089	20150515	NOD2	Homo sapiens	heat shock protein binding,protein binding,protein-folding chaperone binding,binding,molecular_function,Hsp70 protein binding	heat shock protein binding,protein binding,protein-folding chaperone binding,binding,molecular_function,Hsp70 protein binding	Hsp70 protein binding			heat_shock_protein_binding
UniProtKB:Q9HC29	Nucleotide-binding oligomerization domain-containing protein 2		GO:0030544	"{""relationship"": {""relation"": [{""id"": ""BFO:0000066""\, ""label"": ""occurs in""}]\, ""id"": ""CL:0011108""\, ""label"": ""colon epithelial cell""}}"	UniProt	NCBITaxon:9606	IPI	UniProtKB:P0DMV9	PANTHER:PTHR24106	protein	UniProtKB:Q9HC29	PMID:24790089	20150515	NOD2	Homo sapiens	heat shock protein binding,protein binding,protein-folding chaperone binding,binding,molecular_function,Hsp70 protein binding	heat shock protein binding,protein binding,protein-folding chaperone binding,binding,molecular_function,Hsp70 protein binding	Hsp70 protein binding			heat_shock_protein_binding
UniProtKB:Q9HC29	Nucleotide-binding oligomerization domain-containing protein 2		GO:0051879		UniProt	NCBITaxon:9606	IDA		PANTHER:PTHR24106	protein	UniProtKB:Q9HC29	PMID:24790089	20150511	NOD2	Homo sapiens	heat shock protein binding,protein binding,Hsp90 protein binding,binding,molecular_function	heat shock protein binding,protein binding,Hsp90 protein binding,binding,molecular_function	Hsp90 protein binding			heat_shock_protein_binding
