bioentity	bioentity_name	qualifier	annotation_class	annotation_extension_json	assigned_by	taxon	evidence_type	evidence_with	panther_family	type	bioentity_isoform	reference	date	bioentity_label	taxon_label	isa_partof_closure_label	regulates_closure_label	annotation_class_label	annotation_extension_class_labelannotation_extension_class_closure_label	has_participant_closure_label	term
UniProtKB:P13945	Beta-3 adrenergic receptor		GO:0031649		Ensembl	NCBITaxon:9606	IEA	UniProtKB:P25962,ensembl:ENSMUSP00000113732	PANTHER:PTHR24248	protein	UniProtKB:P13945	GO_REF:0000107	20250313	ADRB3	Homo sapiens	heat generation,biological_process,homeostatic process,temperature homeostasis,multicellular organismal-level homeostasis,multicellular organismal process	heat generation,biological_process,homeostatic process,temperature homeostasis,multicellular organismal-level homeostasis,multicellular organismal process	heat generation			temperature_homeostasis
UniProtKB:P28223	5-hydroxytryptamine receptor 2A		GO:0001659		Ensembl	NCBITaxon:9606	IEA	UniProtKB:P14842,ensembl:ENSRNOP00000013408	PANTHER:PTHR24247	protein	UniProtKB:P28223	GO_REF:0000107	20250313	HTR2A	Homo sapiens	biological_process,homeostatic process,temperature homeostasis,multicellular organismal-level homeostasis,multicellular organismal process	biological_process,homeostatic process,temperature homeostasis,multicellular organismal-level homeostasis,multicellular organismal process	temperature homeostasis			temperature_homeostasis
UniProtKB:O60543	Lipid transferase CIDEA		GO:0001659		BHF-UCL	NCBITaxon:9606	ISS	UniProtKB:O70302	PANTHER:PTHR12306	protein	UniProtKB:O60543	GO_REF:0000024	20071213	CIDEA	Homo sapiens	biological_process,homeostatic process,temperature homeostasis,multicellular organismal-level homeostasis,multicellular organismal process	biological_process,homeostatic process,temperature homeostasis,multicellular organismal-level homeostasis,multicellular organismal process	temperature homeostasis			temperature_homeostasis
UniProtKB:O60543	Lipid transferase CIDEA		GO:0001659		Ensembl	NCBITaxon:9606	IEA	UniProtKB:O70302,ensembl:ENSMUSP00000025404	PANTHER:PTHR12306	protein	UniProtKB:O60543	GO_REF:0000107	20250313	CIDEA	Homo sapiens	biological_process,homeostatic process,temperature homeostasis,multicellular organismal-level homeostasis,multicellular organismal process	biological_process,homeostatic process,temperature homeostasis,multicellular organismal-level homeostasis,multicellular organismal process	temperature homeostasis			temperature_homeostasis
UniProtKB:P08588	Beta-1 adrenergic receptor		GO:0031649		Ensembl	NCBITaxon:9606	IEA	UniProtKB:P34971,ensembl:ENSMUSP00000040847	PANTHER:PTHR24248	protein	UniProtKB:P08588	GO_REF:0000107	20250313	ADRB1	Homo sapiens	heat generation,biological_process,homeostatic process,temperature homeostasis,multicellular organismal-level homeostasis,multicellular organismal process	heat generation,biological_process,homeostatic process,temperature homeostasis,multicellular organismal-level homeostasis,multicellular organismal process	heat generation			temperature_homeostasis
UniProtKB:Q9BUT9	MAPK regulated corepressor interacting protein 2		GO:0106106		Ensembl	NCBITaxon:9606	IEA	UniProtKB:Q9CQB2,ensembl:ENSMUSP00000026828		protein	UniProtKB:Q9BUT9	GO_REF:0000107	20250313	MCRIP2	Homo sapiens	biological_process,homeostatic process,temperature homeostasis,metabolic process,multicellular organismal-level homeostasis,adaptive thermogenesis,cold-induced thermogenesis,cellular process,multicellular organismal process	biological_process,homeostatic process,temperature homeostasis,metabolic process,multicellular organismal-level homeostasis,adaptive thermogenesis,cold-induced thermogenesis,cellular process,multicellular organismal process	cold-induced thermogenesis			temperature_homeostasis
UniProtKB:P21728	D(1A) dopamine receptor		GO:0001659		Ensembl	NCBITaxon:9606	IEA	UniProtKB:Q61616,ensembl:ENSMUSP00000021932	PANTHER:PTHR24248	protein	UniProtKB:P21728	GO_REF:0000107	20250313	DRD1	Homo sapiens	biological_process,homeostatic process,temperature homeostasis,multicellular organismal-level homeostasis,multicellular organismal process	biological_process,homeostatic process,temperature homeostasis,multicellular organismal-level homeostasis,multicellular organismal process	temperature homeostasis			temperature_homeostasis
UniProtKB:P18146	Early growth response protein 1		GO:0060086		UniProt	NCBITaxon:9606	ISS	UniProtKB:P08046	PANTHER:PTHR23235	protein	UniProtKB:P18146	GO_REF:0000024	20181009	EGR1	Homo sapiens	biological_process,rhythmic process,circadian temperature homeostasis,homeostatic process,temperature homeostasis,multicellular organismal-level homeostasis,circadian rhythm,multicellular organismal process	biological_process,rhythmic process,circadian temperature homeostasis,homeostatic process,temperature homeostasis,multicellular organismal-level homeostasis,circadian rhythm,multicellular organismal process	circadian temperature homeostasis			temperature_homeostasis
UniProtKB:P18146	Early growth response protein 1		GO:0060086		Ensembl	NCBITaxon:9606	IEA	UniProtKB:P08046,ensembl:ENSMUSP00000069616	PANTHER:PTHR23235	protein	UniProtKB:P18146	GO_REF:0000107	20250313	EGR1	Homo sapiens	biological_process,rhythmic process,circadian temperature homeostasis,homeostatic process,temperature homeostasis,multicellular organismal-level homeostasis,circadian rhythm,multicellular organismal process	biological_process,rhythmic process,circadian temperature homeostasis,homeostatic process,temperature homeostasis,multicellular organismal-level homeostasis,circadian rhythm,multicellular organismal process	circadian temperature homeostasis			temperature_homeostasis
UniProtKB:P28330	Long-chain specific acyl-CoA dehydrogenase, mitochondrial		GO:0001659		BHF-UCL	NCBITaxon:9606	ISS	UniProtKB:P51174	PANTHER:PTHR48083	protein	UniProtKB:P28330	GO_REF:0000024	20091127	ACADL	Homo sapiens	biological_process,homeostatic process,temperature homeostasis,multicellular organismal-level homeostasis,multicellular organismal process	biological_process,homeostatic process,temperature homeostasis,multicellular organismal-level homeostasis,multicellular organismal process	temperature homeostasis			temperature_homeostasis
UniProtKB:P41968	Melanocortin receptor 3		GO:0042309		Ensembl	NCBITaxon:9606	IEA	UniProtKB:P32244,ensembl:ENSRNOP00000005871	PANTHER:PTHR22750	protein	UniProtKB:P41968	GO_REF:0000107	20250313	MC3R	Homo sapiens	biological_process,homoiothermy,homeostatic process,temperature homeostasis,multicellular organismal-level homeostasis,multicellular organismal process	biological_process,homoiothermy,homeostatic process,temperature homeostasis,multicellular organismal-level homeostasis,multicellular organismal process	homoiothermy			temperature_homeostasis
UniProtKB:O94759	Transient receptor potential cation channel subfamily M member 2		GO:0001659		UniProt	NCBITaxon:9606	ISS	UniProtKB:Q91YD4	PANTHER:PTHR13800	protein	UniProtKB:O94759	GO_REF:0000024	20160915	TRPM2	Homo sapiens	biological_process,homeostatic process,temperature homeostasis,multicellular organismal-level homeostasis,multicellular organismal process	biological_process,homeostatic process,temperature homeostasis,multicellular organismal-level homeostasis,multicellular organismal process	temperature homeostasis			temperature_homeostasis
UniProtKB:O94759	Transient receptor potential cation channel subfamily M member 2		GO:0001659		Ensembl	NCBITaxon:9606	IEA	UniProtKB:Q91YD4,ensembl:ENSMUSP00000101040	PANTHER:PTHR13800	protein	UniProtKB:O94759	GO_REF:0000107	20250313	TRPM2	Homo sapiens	biological_process,homeostatic process,temperature homeostasis,multicellular organismal-level homeostasis,multicellular organismal process	biological_process,homeostatic process,temperature homeostasis,multicellular organismal-level homeostasis,multicellular organismal process	temperature homeostasis			temperature_homeostasis
UniProtKB:P48645	Neuromedin-U		GO:0001659		Ensembl	NCBITaxon:9606	IEA	UniProtKB:Q9QXK8,ensembl:ENSMUSP00000031146	PANTHER:PTHR15390	protein	UniProtKB:P48645	GO_REF:0000107	20250313	NMU	Homo sapiens	biological_process,homeostatic process,temperature homeostasis,multicellular organismal-level homeostasis,multicellular organismal process	biological_process,homeostatic process,temperature homeostasis,multicellular organismal-level homeostasis,multicellular organismal process	temperature homeostasis			temperature_homeostasis
UniProtKB:P01584	Interleukin-1 beta		GO:0001660		UniProt	NCBITaxon:9606	IEA	UniProtKB-KW:KW-0666	PANTHER:PTHR10078	protein	UniProtKB:P01584	GO_REF:0000043	20250428	IL1B	Homo sapiens	biological_process,defense response,fever generation,acute-phase response,response to stress,heat generation,inflammatory response,acute inflammatory response,homeostatic process,temperature homeostasis,multicellular organismal-level homeostasis,response to stimulus,multicellular organismal process	biological_process,defense response,fever generation,acute-phase response,response to stress,heat generation,inflammatory response,acute inflammatory response,homeostatic process,temperature homeostasis,multicellular organismal-level homeostasis,response to stimulus,multicellular organismal process	fever generation			temperature_homeostasis
UniProtKB:P01583	Interleukin-1 alpha		GO:0001660		UniProt	NCBITaxon:9606	IEA	UniProtKB-KW:KW-0666	PANTHER:PTHR10078	protein	UniProtKB:P01583	GO_REF:0000043	20250428	IL1A	Homo sapiens	biological_process,defense response,fever generation,acute-phase response,response to stress,heat generation,inflammatory response,acute inflammatory response,homeostatic process,temperature homeostasis,multicellular organismal-level homeostasis,response to stimulus,multicellular organismal process	biological_process,defense response,fever generation,acute-phase response,response to stress,heat generation,inflammatory response,acute inflammatory response,homeostatic process,temperature homeostasis,multicellular organismal-level homeostasis,response to stimulus,multicellular organismal process	fever generation			temperature_homeostasis
UniProtKB:O43612	Hypocretin neuropeptide precursor		GO:0001659		Ensembl	NCBITaxon:9606	IEA	UniProtKB:O55232,ensembl:ENSRNOP00000025547	PANTHER:PTHR15173	protein	UniProtKB:O43612	GO_REF:0000107	20250313	HCRT	Homo sapiens	biological_process,homeostatic process,temperature homeostasis,multicellular organismal-level homeostasis,multicellular organismal process	biological_process,homeostatic process,temperature homeostasis,multicellular organismal-level homeostasis,multicellular organismal process	temperature homeostasis			temperature_homeostasis
UniProtKB:O43612	Hypocretin neuropeptide precursor		GO:0001659		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN002689309,RGD:2786	PANTHER:PTHR15173	protein		GO_REF:0000033	20190213	HCRT	Homo sapiens	biological_process,homeostatic process,temperature homeostasis,multicellular organismal-level homeostasis,multicellular organismal process	biological_process,homeostatic process,temperature homeostasis,multicellular organismal-level homeostasis,multicellular organismal process	temperature homeostasis			temperature_homeostasis
UniProtKB:Q9HC29	Nucleotide-binding oligomerization domain-containing protein 2		GO:0001659		UniProt	NCBITaxon:9606	ISS	UniProtKB:Q8K3Z0	PANTHER:PTHR24106	protein	UniProtKB:Q9HC29	GO_REF:0000024	20230324	NOD2	Homo sapiens	biological_process,homeostatic process,temperature homeostasis,multicellular organismal-level homeostasis,multicellular organismal process	biological_process,homeostatic process,temperature homeostasis,multicellular organismal-level homeostasis,multicellular organismal process	temperature homeostasis			temperature_homeostasis
