bioentity	bioentity_name	qualifier	annotation_class	annotation_extension_json	assigned_by	taxon	evidence_type	evidence_with	panther_family	type	bioentity_isoform	reference	date	bioentity_label	taxon_label	annotation_class_label	annotation_extension_class_label	term
UniProtKB:P04792	Heat shock protein beta-1		GO:0042026		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN000897708,FB:FBgn0001226,FB:FBgn0011296,FB:FBgn0031037,FB:FBgn0035817,FB:FBgn0001225,FB:FBgn0001224	PANTHER:PTHR45640	protein		GO_REF:0000033	20220316	HSPB1	Homo sapiens	protein refolding		protein_refolding
UniProtKB:P48723	Heat shock 70 kDa protein 13		GO:0042026		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN000452648,UniProtKB:P54652,UniProtKB:P17066,UniProtKB:P0DMV8,UniProtKB:P11142,UniProtKB:P34931,UniProtKB:P0DMV9,SGD:S000003806,SGD:S000000004	PANTHER:PTHR19375	protein		GO_REF:0000033	20221122	HSPA13	Homo sapiens	protein refolding		protein_refolding
UniProtKB:P0DMV8	Heat shock 70 kDa protein 1A		GO:0042026		UniProt	NCBITaxon:9606	IEA	ARBA:ARBA00043587	PANTHER:PTHR19375	protein	UniProtKB:P0DMV8	GO_REF:0000117	20250428	HSPA1A	Homo sapiens	protein refolding		protein_refolding
UniProtKB:P0DMV8	Heat shock 70 kDa protein 1A		GO:0042026		BHF-UCL	NCBITaxon:9606	IDA		PANTHER:PTHR19375	protein	UniProtKB:P0DMV8	PMID:15603737	20150616	HSPA1A	Homo sapiens	protein refolding		protein_refolding
UniProtKB:P0DMV8	Heat shock 70 kDa protein 1A		GO:0042026	"{""relationship"": {""relation"": [{""id"": ""RO:0002233""\, ""label"": ""has input""}]\, ""id"": ""UniProtKB:P04637""\, ""label"": ""UniProtKB:P04637""}}"	UniProt	NCBITaxon:9606	IDA		PANTHER:PTHR19375	protein	UniProtKB:P0DMV8	PMID:21231916	20150618	HSPA1A	Homo sapiens	protein refolding		protein_refolding
UniProtKB:P0DMV8	Heat shock 70 kDa protein 1A		GO:0042026		UniProt	NCBITaxon:9606	IMP		PANTHER:PTHR19375	protein	UniProtKB:P0DMV8	PMID:27708256	20170130	HSPA1A	Homo sapiens	protein refolding		protein_refolding
UniProtKB:P0DMV8	Heat shock 70 kDa protein 1A		GO:0042026		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN000452648,UniProtKB:P54652,UniProtKB:P17066,UniProtKB:P0DMV8,UniProtKB:P11142,UniProtKB:P34931,UniProtKB:P0DMV9,SGD:S000003806,SGD:S000000004	PANTHER:PTHR19375	protein		GO_REF:0000033	20221122	HSPA1A	Homo sapiens	protein refolding		protein_refolding
UniProtKB:P0DMV9	Heat shock 70 kDa protein 1B		GO:0042026		UniProt	NCBITaxon:9606	IEA	ARBA:ARBA00043587	PANTHER:PTHR19375	protein	UniProtKB:P0DMV9	GO_REF:0000117	20250428	HSPA1B	Homo sapiens	protein refolding		protein_refolding
UniProtKB:P0DMV9	Heat shock 70 kDa protein 1B		GO:0042026		BHF-UCL	NCBITaxon:9606	IDA		PANTHER:PTHR19375	protein	UniProtKB:P0DMV9	PMID:15603737	20150616	HSPA1B	Homo sapiens	protein refolding		protein_refolding
UniProtKB:P0DMV9	Heat shock 70 kDa protein 1B		GO:0042026	"{""relationship"": {""relation"": [{""id"": ""RO:0002233""\, ""label"": ""has input""}]\, ""id"": ""UniProtKB:P04637""\, ""label"": ""UniProtKB:P04637""}}"	UniProt	NCBITaxon:9606	IDA		PANTHER:PTHR19375	protein	UniProtKB:P0DMV9	PMID:21231916	20150618	HSPA1B	Homo sapiens	protein refolding		protein_refolding
